voted_at_et,voter,verdict,pair,direction,entry_price,entry_level,sl_pips,method,trend,zone,triggered_at,signal_token
2026-09-15 22:55:35,ddavis1721,valid,EUR_JPY,LONG,179.0,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),DEMAND 178.912-179.068 (1H),2026-09-16 00:12:00+00:00,2e4b6e2c
2026-09-15 22:55:58,Steven,valid,EUR_JPY,LONG,179.0,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),DEMAND 178.912-179.068 (1H),2026-09-16 00:12:00+00:00,2e4b6e2c
2026-09-15 22:56:14,GmanP03,valid,EUR_JPY,LONG,179.0,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),DEMAND 178.912-179.068 (1H),2026-09-16 00:12:00+00:00,2e4b6e2c
2026-09-15 22:56:15,GmanP03,valid,EUR_JPY,LONG,179.0,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),DEMAND 178.912-179.068 (1H),2026-09-16 00:12:00+00:00,2e4b6e2c
2026-09-15 22:56:16,GmanP03,valid,EUR_JPY,LONG,179.0,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),DEMAND 178.912-179.068 (1H),2026-09-16 00:12:00+00:00,2e4b6e2c
2026-09-15 22:56:17,Steven,valid,EUR_JPY,LONG,179.0,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),DEMAND 178.912-179.068 (1H),2026-09-16 00:12:00+00:00,2e4b6e2c
2026-09-15 22:56:18,GmanP03,invalid,EUR_JPY,LONG,179.0,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),DEMAND 178.912-179.068 (1H),2026-09-16 00:12:00+00:00,2e4b6e2c
2026-09-15 22:56:19,GmanP03,valid,EUR_JPY,LONG,179.0,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),DEMAND 178.912-179.068 (1H),2026-09-16 00:12:00+00:00,2e4b6e2c
2026-09-15 22:56:50,Steven,valid,EUR_JPY,LONG,179.0,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),DEMAND 178.912-179.068 (1H),2026-09-16 00:12:00+00:00,2e4b6e2c
2026-09-15 22:57:12,Steven,invalid,EUR_JPY,LONG,179.0,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),DEMAND 178.912-179.068 (1H),2026-09-16 00:12:00+00:00,2e4b6e2c
2026-09-15 22:57:13,Steven,valid,EUR_JPY,LONG,179.0,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),DEMAND 178.912-179.068 (1H),2026-09-16 00:12:00+00:00,2e4b6e2c
2026-09-15 22:57:24,ddavis1721,invalid,EUR_JPY,LONG,179.0,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),DEMAND 178.912-179.068 (1H),2026-09-16 00:12:00+00:00,2e4b6e2c
2026-09-15 22:57:27,ddavis1721,valid,EUR_JPY,LONG,179.0,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),DEMAND 178.912-179.068 (1H),2026-09-16 00:12:00+00:00,2e4b6e2c
2026-09-15 22:57:30,Steven,invalid,EUR_JPY,LONG,179.0,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),DEMAND 178.912-179.068 (1H),2026-09-16 00:12:00+00:00,2e4b6e2c
2026-09-15 22:57:33,Steven,valid,EUR_JPY,LONG,179.0,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),DEMAND 178.912-179.068 (1H),2026-09-16 00:12:00+00:00,2e4b6e2c
2026-09-15 22:58:25,GmanP03,valid,EUR_JPY,LONG,179.0,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),DEMAND 178.912-179.068 (1H),2026-09-16 00:12:00+00:00,2e4b6e2c
2026-09-15 22:58:28,GmanP03,valid,EUR_JPY,LONG,179.0,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),DEMAND 178.912-179.068 (1H),2026-09-16 00:12:00+00:00,2e4b6e2c
2026-09-15 22:58:30,GmanP03,valid,EUR_JPY,LONG,179.0,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),DEMAND 178.912-179.068 (1H),2026-09-16 00:12:00+00:00,2e4b6e2c
2026-09-15 22:58:32,GmanP03,valid,EUR_JPY,LONG,179.0,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),DEMAND 178.912-179.068 (1H),2026-09-16 00:12:00+00:00,2e4b6e2c
2026-09-15 22:58:34,GmanP03,invalid,EUR_JPY,LONG,179.0,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),DEMAND 178.912-179.068 (1H),2026-09-16 00:12:00+00:00,2e4b6e2c
2026-09-15 22:58:36,GmanP03,valid,EUR_JPY,LONG,179.0,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),DEMAND 178.912-179.068 (1H),2026-09-16 00:12:00+00:00,2e4b6e2c
